Project,sc,snc,cns,ncns,Odds Ratio,p_value,ci_lower,ci_upper
conscrypt-1.0.0.RC11,2,2,1,8,8,0.2,0.46,139.29
conscrypt-1.0.0.RC14,3,0,4,6,10.11,0.19,0.41,247.48
conscrypt-1.0.0.RC2,1,3,0,9,8.14,0.31,0.26,250.73
conscrypt-1.0.0.RC8,2,2,7,2,0.29,0.53,0.02,3.52
conscrypt-1.0.1,3,0,3,7,15,0.07,0.6,376.7
conscrypt-1.0.2,0,3,0,10,3,1,0.05,181.45
conscrypt-1.1.1,1,2,1,9,4.5,0.42,0.19,106.82
conscrypt-1.2.0,2,1,2,8,8,0.2,0.46,139.29
conscrypt-1.4.2,3,0,3,7,15,0.07,0.6,376.7
conscrypt-2.1.0,1,2,1,9,4.5,0.42,0.19,106.82
java-smt-0.60,0,1,1,0,0.11,1,0,10.27
java-smt-1.0.1,1,0,1,1,3,1,0.06,151.19
java-smt-2.0.0-alpha,1,0,0,2,15,0.33,0.18,1236.18
java-smt-2.0.0,0,1,0,2,1.67,1,0.02,137.35
java-smt-3.0.0,1,0,0,2,15,0.33,0.18,1236.18
javacpp-0.5,12,0,0,0,,,,
javacpp-0.9,12,0,0,0,,,,
javacpp-1.1,3,11,0,0,,,,
javacpp-1.2.1,13,0,0,0,,,,
javacpp-1.2.7,12,1,0,0,,,,
javacpp-1.2,11,2,0,0,,,,
javacpp-1.3.2,3,11,0,0,,,,
javacpp-1.3,8,5,0,0,,,,
javacpp-1.4.2,3,13,0,0,,,,
javacpp-1.4.4,1,17,0,0,,,,
javacpp-1.4,4,11,0,0,,,,
javacpp-1.5.1-1,2,16,0,0,,,,
javacpp-1.5,3,15,0,0,,,,
jpype-v0.5.4.5,1,0,3,0,0.43,1,0.01,33.6
jpype-v0.5.5.1,0,1,2,1,0.2,1,0,8.82
jpype-v0.5.5.4,0,2,0,2,1,1,0.01,73.26
jpype-v0.5.6,0,2,1,1,0.2,1,0,8.82
jpype-v0.5.7,0,3,1,1,0.14,0.4,0,5.95
jpype-v0.6.0,0,3,0,2,0.71,1,0.01,49.71
jpype-v0.6.1,1,2,1,1,0.5,1,0.01,19.56
jpype-v0.6.2,1,2,2,0,0.12,0.4,0,4.61
jpype-v0.6.3,0,3,1,1,0.14,0.4,0,5.95
jpype-v0.7,1,4,1,1,0.25,1,0.01,8.56
